A-1	絶好調！あなたの魅力が自然にこぼれて、片想いも実る暗示です。
B-1	最高の運勢！愛情に満ちあふれています。自然体がポイント。
C-1	最高のラッキーデー！告白されたり愛情の強さが再認識できそう。
D-1	恋愛運は最高。フリーの人は新しい恋が。辛い恋は大きな進展。
E-1	人気が高まるラッキーデー。思わぬ食事のお誘いがあるかも。
F-1	想いが伝わるラッキーデー。大胆さが決め手。ケンカもエンド。
G-1	ラッキーチャンスの暗示。誠実な相手が現れそう。片想いも実る。
H-1	愛情運が最高！ハートがしっかり結ばれ、結婚を決めてもＯＫ。
I-1	人気運急上昇！想いを寄せられそう。片想いの人とはいいムード。
J-1	大吉運！あなたの魅力が１００％発揮。オシャレに気を配って。
K-1	大ラッキーデー！確かな実感アリ。結婚を決めたい人は大事な日。
L-1	愛が実る暗示。結婚を決めるにも最適。周りの人も幸せにしそう。
A-2	とっても順調！ケンカ中のカップルもきっと仲直りできるはず。
B-2	出会いの予感。カップルは気持ちが通じ合い絆も深まります。
C-2	片想いも実るとき。ご近所や親戚からハッピーがやってくるかも。
D-2	運命の人に出会えるチャンス！ピピッときたら強くアプローチ。
E-2	理想の相手との出会いの予感。カップルはお互いの喜びを実感。
F-2	高嶺の花もゲットできそうな予感。二人の愛もいっそう深まって。
G-2	気になる人と親しくなれそう。素直な気持ちを打ち明けてグッド。
H-2	恋のキューピッドが出現！想いが届きそうな人は親友に頼もう。
I-2	新しい恋の予感！ピンときたら迷わず声をかけて。嬉しい事が。
J-2	モテモテの運勢。アプローチがあるかも。楽しい時を過ごせそう。
K-2	友達と一緒に行動すると吉。相手が一番！と再確認ができそう。
L-2	気持ちがスムーズにつながりそう。素直な気持ちを伝えて吉。
A-3	家族や友達の応援で、ふたりの絆がぐんと深まる暗示です。
B-3	モテモテ状態。恋が始まる予感。カップルは関係を見直してみて。
C-3	新鮮で素敵な出会いがありそう。相手のいる人は深入りは禁物。
D-3	紹介で好みのタイプに出会える可能性大。気軽にいきましょう。
E-3	友人が恋人に昇格する可能性も。会話のきっかけはあなたから。
F-3	友達の知人に好みの相手がいそう。パートナーには内緒が無難。
G-3	趣味や志向がピッタリの人との出会いが！コンサートや映画が吉。
H-3	ケンカ中の人は、友人を交えてディナーに出かけては。元通りに。
I-3	イベントに参加すると、出会いが。カップルは楽しいデートに。
J-3	あなたの人気が急上昇で周囲から仲をうらやましがられそうです。
K-3	尊敬できる異性に出会える暗示。お互いに信頼できるでしょう。
L-3	友情が今日のキーポイント。友達と一緒に過ごして楽しい時間に。
A-4	トキメキの暗示。プライドをくすぐる甘え上手がポイントのよう。
B-4	恋愛を楽しむ余裕が。約束事で窮屈なカップルは話し合ってみて。
C-4	ほのぼのとした時間が過ごせそう。意外な一面を発見するかも。
D-4	ドキドキするような新鮮な事が起きそう。イメージチェンジが吉。
E-4	フレンドリーなアプローチが効果的。気軽にランチに誘ってみて。
F-4	マンネリカップルは小旅行やプレゼントが心の絆を深めそう。
G-4	プライドをくすぐるような一言を。それから二人の仲は進展。
H-4	スポーツ観戦はいかが？ストレス解消にもなって、よりホットに。
I-4	とりあえずアクションを起こして！見つめるだけでは進展ナシ。
J-4	長期の旅行プランを立ててみては？仲がグッと進展するはず。
K-4	パートナーによって人間性が磨かれる日。仕事や人生観を語って。
L-4	二人の間で何か、もめ事があれば知恵を絞って吉。明るい展開が。
A-5	恋の駆け引きにラッキーが。ちょっとハラハラさせてみては？
B-5	相手をつまらなく感じそう。見栄を張ったり態度に出さないでね。
C-5	相手のペースに合わせて受け身の姿勢でいると幸せな一日。
D-5	片思いの人は強引に迫るのはＮＧ。柔軟さが幸運へのカギ。
E-5	強く印象づけるなら得意分野の話が一番。心がグッと縮まりそう。
F-5	気づかいや優しさが幸運につながる日。メモやメールで励まして。
G-5	恋には駆け引きも必要。カップルはデートコースを変えると吉。
H-5	オシャレが恋のムードをアップ！いつもと違うファッションで。
I-5	恋には駆け引きも必要。他人と親しげにして嫉妬心をあおったら。
J-5	気配りや優しさが相手の心を動かすカギに。将来の話をして吉。
K-5	共通の趣味や仲間が見つかりそう。話題が豊富になりハッピー。
L-5	今日のラッキーポイントは意外性。多面的な素顔を印象づけて。
A-6	ほのぼのとした恋の暗示アリ。意気投合できる異性が登場しそう。
B-6	ほのぼのムードの予感。異性の友人との出会いがあるかも。
C-6	居心地のいい人と出会えそう。リフレッシュして楽しい一日。
D-6	周囲が恋のキューピッド。ケンカ中の人は友達に入ってもらって。
E-6	異性の友人に相談してみては？為になるアドバイスがあるかも。
F-6	まずまず好調。二人で出かけたり共通の話題を持つことがカギ。
G-6	恋の相手は以外と近くに…。片想いの人は後一歩で恋が実りそう。
H-6	気の合う異性と知り合いに？カップルは賑やかな場所でデートを。
I-6	あなたに好感を持つ人が出現しそう。まずは友人として親しくね。
J-6	気の合う異性の友人ができるかも。まずは友情を育てる事から。
K-6	心華やぐ出会いあり。洗練された穏やかな魅力にトキメキそう。
L-6	気の合う異性の友人と楽しい時間が過ごせそう。相談事もＯＫ。
A-7	好きな人の長所を再発見。ますます惚れ直して、幸せ気分に。
B-7	宿命的な恋が始まりそう。カップルはいいムードじっくり話そう。
C-7	過去の恋が復活しそう。未練があるなら素直に気持ちを伝えて。
D-7	ホノボノとした幸せが。きょうのデートはワリカンでスッキリ。
E-7	気になる相手には、即、行動開始！ラッキーな事が起こる予感が。
F-7	恋の女神はあなたの味方。思い通りの行動で素敵な出会いがアリ。
G-7	一目ボレする暗示。直感を信じてＯＫ。積極的なアプローチで。
H-7	イイ関係になれそうな異性が出現！カップルも嬉しいニュースが。
I-7	ハートに火がつきそうな予感！映画やコンサートに誘ってＯＫ。
J-7	ラッキーな事が。強気でいってＯＫ。別れた恋人と復活するかも。
K-7	ハッピー！相手の長所がよくわかりこの人で良かったと思うはず。
L-7	心と心が通い合う幸福感の暗示アリ。素敵な一日になりそうです。
A-8	恋の裏切りが待っているかも。どんな時もプライドを忘れないで。
B-8	大爆発してケンカしてしまいそう。刃傷沙汰になりかねないかも。
C-8	価値観の違いからカップル間にトラブル発生！誠実な対応を。
D-8	意地を張ったり、イヤミの連発に相手は深く傷つくでしょう。
E-8	三角関係のトラブルの暗示。気持ちのスレ違いや口の災いに注意。
F-8	一波乱あるかも。心当たりがあれば、弁解よりも誠意の見せ方を。
G-8	強力なライバルが出現しそう。相手は一枚上手。誠実さで勝負！
H-8	相手を思い通りに支配するのはタブー。広いハートで包み込んで。
I-8	軽く扱われているような気持ちが。不満はハッキリ口に出して。
J-8	好き勝手にしていると別れ話を切り出される恐れが。優しくして。
K-8	悲しい出来事が！心が痛むような言葉や辛い告白が。心の準備を。
L-8	恋のトライアングルが表面化しそう。大事なのはあなたの気持ち。
A-9	軽いスキンシップが、きょうのふたりにはとっても効果的。
B-9	パートナーに改めて惚れ直しそう。困っている事は相談してみて。
C-9	新たな異性が登場しそう。周囲から「会ってみない？」の声が。
D-9	恋が始まる予感。やけに魅力的に感じられ相手に伝わりそう。
E-9	映画や本の話題で、ちょっと知的なあなたを演出すると効果大。
F-9	あなたが甘えすぎに気をつければ、新鮮でホンワカなふたり。
G-9	いつもとはひと味違ったオシャレを楽しんで。ラブ運がアップ！
H-9	香水を変えたり、着ないような色を身につけるとラブ運がアップ！
I-9	気持ちの行き違いがありそう。カラオケででも、気分転換をして。
J-9	すれ違いのカップルは、現実に縛られない夢物語を楽しんでみて。
K-9	相手の優しい気づかいが、あなたをハッピーにしてくれそう。
L-9	二人の関係とは別の所で、少し波風が立ちそう。絆をしっかりと。
A-10	ふたりの気持ちが微妙にズレて、トゲトゲしい雰囲気になりそう。
B-10	イヤな誘いはキッパリと！大忙しの人は家族関係を修復してみて。
C-10	相手の悪い面ばかりに目がいきそう。あなたにも原因があるかも。
D-10	お互いに忙しくてすれ違いでは？メモやメールが愛の確認の鍵。
E-10	独占欲をむき出しにして相手に嫌われないように注意して。
F-10	会話が弾まず落ち込みそう。相手への気配りを大切にして。
G-10	思いこみがスレ違いを招く結果に。好きなら言葉でストレートに。
H-10	あなたの一言から衝突がありそう。今日は、口の災いに注意して。
I-10	仕事と恋愛の両立で頭を悩ませそう。相手に合わせる努力を！
J-10	本当に相手を好きなのか疑問に思いそう。考えて反省しましょう。
K-10	気持ちのタイミングがズレて行き違いが…。今日の告白はＮＧ。
