A-1	絶好調！あなたの魅力が自然にこぼれて片想いも実る暗示。
B-1	情熱的な恋愛ができる最高の運勢！ゴールインへの可能性も大。
C-1	願えば叶う最高のラッキーデー。お洒落して出かけよう。
D-1	恋愛運は最高。フリーの人は新しい恋が。辛い恋は大きな進展。
E-1	人気が高まるラッキーデー。思わぬ食事のお誘いがあるかも。
F-1	想いが伝わるラッキーデー。大胆さが決めて。ケンカもエンド。
G-1	ラッキーチャンスの暗示。誠実な相手が現れそう。片想いも実る。
H-1	愛情運が最高！ハートがしっかり結ばれ、結婚を決めてもＯＫ。
I-1	人気急上昇！想いを寄せられそう。片想いの人とはいいムード。
J-1	大吉運！あなたの魅力が１００％発揮。オシャレに気を配って。
K-1	大ラッキーデー！確かな実感アリ。結婚を決めたい人は大事な日。
L-1	愛が実る暗示。結婚を決めるにも最適。片想いの人は告白を。
A-2	とっても順調！ケンカ中のカップルもきっと仲直りできるはず。
B-2	心ときめく出会いアリ。好きな人とは気持ちが通じ合う暗示が。
C-2	片想いも告白するとハッピーエンドに。プロポーズもＯＫ。
D-2	運命の人に出会えるチャンス！ピピッときたら強くアプローチ。
E-2	理想的な相手との出会いの予感。思いを打ち明けるチャンス。
F-2	初対面の人に好印象を与えられそうな日。高嶺の花もゲットかも。
G-2	気になる人と親しくなれそう。素直な気持ちを打ち明けてグッド。
H-2	恋のキューピッドが出現！想いが届きそうな人は親友に頼もう。
I-2	新しい恋の予感！ピンときたら迷わず声をかけて。嬉しい事が。
J-2	モテモテの運勢。アプローチがあるかも。楽しい時を過ごせそう。
K-2	恋の吉日。片想いの人やケンカ中の二人には友達からフォローが。
L-2	気持ちがスムーズにつながりそう。素直な気持ちを伝えて吉。
A-3	家族や友達の応援で、二人の絆がぐんと深まる暗示です。
B-3	周囲のバックアップで恋が始まる予感。積極的な行動がカギ。
C-3	友達の紹介でステキな出会いがありそう。人気運も高まりそう。
D-3	紹介で好みのタイプに出会える可能性大。気軽にいきましょう。
E-3	友人が恋人に昇格する可能性も。会話のきっかけはあなたから。
F-3	友達の知人に好みの相手がいそう。友達のカップルと行動して吉。
G-3	趣味や思考がピッタリの人との出会いが！コンサートや映画が吉。
H-3	今まで意識してなかった異性が、急に愛しく思えそうな暗示。
I-3	イベントに参加すると、出会いが。カップルは楽しいデートに。
J-3	相手に気持ちが伝わるラッキーデー。ストレートな意志表示でね。
K-3	なかなか恋人ができないあなたにも、今日は嬉しい事がありそう。
L-3	友情が今日のキーポイント。友達が恋人に昇格なんてことも。
A-4	トキメキの暗示。プライドをくすぐる甘え上手がポイントのよう。
B-4	恋愛を楽しむ余裕が生まれそうで、楽しい時間がおくれるはず。
C-4	好きな人と、ほのぼのした時間が過ごせそう。自然体で接してね。
D-4	ドキドキするような新鮮な事が起きそう。イメージチェンジが吉。
E-4	フレンドリーなアプローチが効果的。気軽にランチに誘ってみて。
F-4	マンネリカップルは小旅行が吉。片想いの人は自然に話しかけて。
G-4	プライドをくすぐるような一言を。それからふたりの仲は進展。
H-4	あなたは理想が高すぎるのかも。キャパを広げられるチャンス！
I-4	とりあえずアクションを起こして！見つめるだけでは進展ナシ。
J-4	長期の旅行プランを立ててみては？仲がグッと進展するはず。
K-4	いつもとひと味違うあなたを演出すると吉。プレゼントも効果大。
L-4	頭の良さをアピールして吉。小説や映画のくどき文句を使って。
A-5	恋の駆け引きにラッキーが。ちょっとハラハラさせてみては？
B-5	恋人が平凡すぎてつまらなく感じそう。態度にだすと後悔します。
C-5	今日は相手のペースに上手にのって、受け身の姿勢がいいかもね。
D-5	片想いの人は強引に迫るのはＮＧ。柔軟さが幸運へのカギ。
E-5	強く印象づけるなら得意分野の話が一番。心がグッと縮まりそう。
F-5	気づかいや優しさが幸運につながる日。メモやメールで励まして。
G-5	恋には駆け引きも必要。カップルはデートコースを変えると吉。
H-5	オシャレが恋のムードを高めます。いつもと違うファッションで。
I-5	恋には駆け引きも必要。他人と親しげにして嫉妬心をあおったら？
J-5	気配りや優しさが相手の心を動かすカギに。将来の話をして吉。
K-5	恋の駆け引きに、ラッキーがありそう。作戦を練りましょう。
L-5	今日のラッキーポイントは、意外性。多面的な素顔を印象づけて。
A-6	ほのぼのとした恋の暗示あり。意気投合できる異性が登場しそう。
B-6	ほのぼのムードで恋愛が進行する予感。甘い関係が心地イイ感じ。
C-6	一緒にいるだけで居心地のイイ人と出会えそう。楽しい一日に。
D-6	周囲が恋のキューピッド。ケンカ中の人は友達に入ってもらって。
E-6	好みの人が現れそうな予感。仲の良い友人に協力してもらって吉。
F-6	まずまず好調。片想いの人は、共通の話題から会話が弾みそう。
G-6	恋の相手は以外と近くに…。片想いの人は後一歩で恋が実りそう。
H-6	気の合う異性と知り合うかも。カップルは賑やかな場所でデート。
I-6	あなたに好感を持つ人が出現しそう。まずは友人として親しくね。
J-6	気の合う異性の友人ができるかも。まずは友情を育てることから。
K-6	あわい恋心の暗示が出ています。イイ感じの異性と出会えそう。
L-6	心魅かれる人が登場しそう。まずは友情からはじめるのが吉。
A-7	ふたりの気持ちが微妙にズレて、トゲトゲしい雰囲気になりそう。
B-7	思わせぶりな態度から、興味のない人に交際を申し込まれそう。
C-7	相手の悪い面ばかりに目がいきそう。意識してイイ面をみよう。
D-7	好きな人と波長が合わずちょっとブルーに。言葉の意味を考えて。
E-7	独占欲をむき出しにして相手に嫌われないように注意して。
F-7	会話が弾まず、落ち込みそう。相手への気配りを大切にして。
G-7	思いこみがスレ違いを招く結果に。好きなら言葉でストレートに。
H-7	あなたの一言から衝突がありそう。今日は、口の災いに注意して。
I-7	仕事と恋愛の両立で頭を悩ませそう。相手に合わせる努力を！
J-7	本当に相手を好きなのか疑問に思いそう。考えて反省しましょう。
K-7	気持ちのタイミングがズレて行き違いが…。今日の告白はＮＧ。
L-7	相手の煮え切らなさにイライラ。その恋は一方的な思い込みかも。
A-8	相手の過去が、今のふたりに影をおとしそう。迷いは禁物ですよ。
B-8	お互いにイライラしてつい一言多くなり、今日の恋はいまひとつ。
C-8	見通しのつかない恋に疲れそう。今日は、気楽な友達と一緒にね。
D-8	過去の恋が原因で、口ゲンカになりそう。今の気持ちを大切に。
E-8	恋人に不信感を抱いてしまうかも。おおらかさを大切にして。
F-8	相手の過去を詮索しないこと。こだわりすぎると幸せが逃げます。
G-8	過去の恋を引きずりすぎると、大切な人を失う結果に。要注意！
H-8	昔の恋人と比べてしまいそう。二人は別人。割り切らないとダメ。
I-8	この恋に疑問を感じる出来事アリ。関係を見直す日になりそう。
J-8	周囲の中傷や相手から検索されそうな暗示。感情的にならないで。
K-8	昔の恋の燃えカスがくすぶり出しそう。ややこしい事になるかも。
L-8	不信感の暗示。あなたの尽くしすぎが原因かも。自信を持って。
A-9	ジェラシーに苦しむ暗示。ささいなことから深刻なケンカに。
B-9	恋人に浮気の疑惑が急上昇する暗示アリ。ムキにならず、静観。
C-9	恋人に浮気の影が。でも、勘違いかもしれないので、信じてみて。
D-9	愛情に迷いの影が。少し距離を置いて冷静な話し合いをしよう。
E-9	相手の悪い噂が聞こえてきそう。周囲の中傷など気にしない事。
F-9	恋に迷いが生じたら、冷静になって気持ちを整理してみましょう。
G-9	秘密がバレそうな暗示。素直に認めてしまった方がスムーズに。
H-9	恋人に利用されているかも…。毅然とした態度がいいでしょう。
I-9	二人が避けてきた問題が浮上しそう。じっくり話し合って吉。
J-9	恋人のワガママを聞きすぎて苦しくなりそう。たまにはビシッと！
K-9	嫉妬の炎がメラメラ。苦しい想いをしそう。感情的になるとＮＧ。
L-9	愛情に迷いが生じる星回り。相手の家族との折り合いで悩みそう。
A-10	ライバル登場の暗示。ワガママは本気で反省した方がイイみたい。
B-10	相手への熱も冷め別れの予感。感情的にならず冷静な話し合いを。
C-10	束縛が原因で大ゲンカになりそう。悪いのがあなたなら謝って。
D-10	甘えすぎて愛想を尽かされそう。不平不満をグッと我慢しよう。
E-10	自分の思い通りにならないからといって、相手を非難しないでね。
F-10	大ゲンカに発展しそうな暗示。片想いの人はきょうは静観して。
G-10	ほかの異性と親しげにしていると、あらぬ誤解を招きそうな暗示。
H-10	ライバル登場で大あわてしそう。今日は、様子を見守ってね。
I-10	恋人と衝突する暗示。ワガママを言い過ぎているせいかも。
J-10	恋人に恩着せがましく振る舞うと、愛想を尽かされるので注意。
K-10	恋の横ヤリが気になる日。周囲への配慮を欠いていると大変。
L-10	別離の暗示。深刻な事態になるかも。愛が試されていると思って。
A-11	赤信号が点滅しています。相手の心変わりで、突然の破局も。
B-11	何をやっても裏目に。好きな人に決定的に嫌われる可能性もアリ。
C-11	軽い浮気心が災いして、恋が台無しになる恐れが。行動に責任を。
D-11	本命以外にも異性が現れるかも。優柔不断だとしっぺ返しもあり。
E-11	心トキメク出会いの予感。恋人のいる人はトラブルを招く結果に。
F-11	自分とは正反対の魅力の相手に心奪われそう。辛い思いだけかも。
G-11	気持ちがスグ顔にでそうな日。両天秤かけてるあなたは修羅場！
H-11	一目ボレの暗示。でも、相性はイマイチだから胸に秘めた方が。
I-11	恋をしたい衝動。でもお相手は役不足。オジャマ虫にも要注意。
J-11	ラブハプニングの予感。恋を実らせるには忍耐と努力が必要ね。
K-11	恋の赤信号が点滅してしまいそう。サヨナラに発展する可能性も。
L-11	理性ではどうしようもないほど、心魅かれる人との出会いの暗示。
A-12	好きな人の長所を再発見。ますます惚れ直して、幸せ気分に。
B-12	ドラマチックな出会いがありそう。宿命的な恋が始まるかも。
C-12	終わった過去の恋が復活する可能性アリ。気持ちを素直に伝えて。
